Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       12     0.00     0.00  long long&& std::forward<long long>(std::remove_reference<long long>::type&)
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<long long>::~allocator()
  0.00      0.00     0.00        9     0.00     0.00  std::__new_allocator<long long>::~__new_allocator()
  0.00      0.00     0.00        8     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        8     0.00     0.00  std::vector<Node, std::allocator<Node> >::operator[](unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::vector<long long, std::allocator<long long> >::operator[](unsigned long)
  0.00      0.00     0.00        6     0.00     0.00  std::allocator<Node>::~allocator()
  0.00      0.00     0.00        6     0.00     0.00  std::allocator<long long>::allocator(std::allocator<long long> const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        6     0.00     0.00  std::__new_allocator<Node>::~__new_allocator()
  0.00      0.00     0.00        6     0.00     0.00  std::__new_allocator<long long>::__new_allocator(std::__new_allocator<long long> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        4     0.00     0.00  std::__new_allocator<long long>::_M_max_size() const
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<Node>::allocator(std::allocator<Node> const&)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<long long*>(long long*, long long*)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_deallocate(long long*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::~_Vector_base()
  0.00      0.00     0.00        4     0.00     0.00  std::__new_allocator<Node>::__new_allocator(std::__new_allocator<Node> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<long long, std::allocator<long long> >::~vector()
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<long long*>(long long*, long long*)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<long long*, long long>(long long*, long long*, std::allocator<long long>&)
  0.00      0.00     0.00        3     0.00     0.00  std::allocator<long long>::allocator()
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Node*>(Node*, Node*)
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_M_deallocate(Node*, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::~_Vector_base()
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::_Vector_impl(std::allocator<long long> const&)
  0.00      0.00     0.00        3     0.00     0.00  std::__new_allocator<long long>::__new_allocator()
  0.00      0.00     0.00        3     0.00     0.00  std::vector<Node, std::allocator<Node> >::~vector()
  0.00      0.00     0.00        3     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00        3     0.00     0.00  SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&& std::forward<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>(std::remove_reference<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::type&)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<Node*>(Node*, Node*)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<Node*, Node>(Node*, Node*, std::allocator<Node>&)
  0.00      0.00     0.00        3     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        2     0.00     0.00  SegTree::apply(long long, long long)
  0.00      0.00     0.00        2     0.00     0.00  std::__new_allocator<Node>::_M_max_size() const
  0.00      0.00     0.00        2     0.00     0.00  std::__new_allocator<long long>::max_size() const
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<Node>::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl::_Vector_impl(std::allocator<Node> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_base(unsigned long, std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::__new_allocator<Node>::__new_allocator()
